country,region,nconflicts,nconflict_no_fatalities,fatalities
Afghanistan,Southern Asia,40765,23946,119973
Albania,Europe,582,581,1
Algeria,Northern Africa,7362,5321,8451
Angola,Middle Africa,1108,728,13788
Armenia,Caucasus and Central Asia,3118,3110,8
Azerbaijan,Caucasus and Central Asia,12627,12578,59
Bahrain,Middle East,1861,1846,22
Bangladesh,Southern Asia,16802,13114,4640
Belarus,Europe,293,293,0
Benin,Western Africa,215,165,114
Bosnia and Herzegovina,Europe,459,457,2
Botswana,Southern Africa,52,49,3
Bulgaria,Europe,765,765,0
Burkina Faso,Western Africa,2105,1489,2780
Burundi,Eastern Africa,7760,5081,16082
Cambodia,South-Eastern Asia,1919,1784,235
Cameroon,Middle Africa,2621,1248,7435
Central African Republic,Middle Africa,4625,2592,13850
Chad,Middle Africa,912,576,7421
Croatia,Europe,411,409,2
Cyprus,Europe,312,310,2
Democratic Republic of Congo,Middle Africa,14519,9488,44565
Djibouti,Eastern Africa,112,93,71
Egypt,Northern Africa,10260,7590,14366
Equatorial Guinea,Middle Africa,50,36,33
Eritrea,Eastern Africa,191,135,973
eSwatini,Southern Africa,190,177,14
Ethiopia,Eastern Africa,5122,2714,25004
Gabon,Middle Africa,215,203,21
Gambia,Western Africa,197,169,142
Georgia,Caucasus and Central Asia,1446,1440,6
Ghana,Western Africa,858,681,594
Greece,Europe,1312,1303,13
Guinea,Western Africa,1121,820,2698
Guinea-Bissau,Western Africa,151,115,160
India,Southern Asia,67561,63665,6663
Indonesia,South-Eastern Asia,3371,3084,578
Iran,Middle East,5708,5481,832
Iraq,Middle East,22354,10693,99540
Israel,Middle East,1580,1547,45
Ivory Coast,Western Africa,1838,1385,3952
Jordan,Middle East,491,465,111
Kazakhstan,Caucasus and Central Asia,374,366,8
Kenya,Eastern Africa,6427,4065,9291
Kosovo,Europe,289,285,4
Kuwait,Middle East,39,39,0
Kyrgyzstan,Caucasus and Central Asia,319,313,7
Laos,South-Eastern Asia,41,23,35
Lebanon,Middle East,2956,2786,715
Lesotho,Southern Africa,83,60,43
Liberia,Western Africa,1294,1203,588
Libya,Northern Africa,8857,5550,21107
Madagascar,Eastern Africa,1365,858,2101
Malawi,Eastern Africa,512,413,138
Malaysia,South-Eastern Asia,384,368,25
Mali,Western Africa,3193,1765,7377
Mauritania,Western Africa,598,558,137
Moldova,Europe,444,444,0
Montenegro,Europe,213,211,2
Morocco,Northern Africa,2177,2128,152
Mozambique,Eastern Africa,1250,817,1545
Myanmar,South-Eastern Asia,9070,7576,8572
Namibia,Southern Africa,682,622,206
Nepal,Southern Asia,5143,5006,191
Niger,Western Africa,971,577,3242
Nigeria,Western Africa,15011,8063,69585
North Macedonia,Europe,275,274,1
Oman,Middle East,9,8,1
Pakistan,Southern Asia,54496,45679,38258
Palestine,Middle East,6568,6058,790
Philippines,South-Eastern Asia,9690,2692,11759
Qatar,Middle East,5,5,0
Republic of Congo,Middle Africa,243,193,459
Romania,Europe,1134,1133,1
Russia,Europe,3734,3644,168
Rwanda,Eastern Africa,370,240,1381
Saudi Arabia,Middle East,6096,3509,16907
Senegal,Western Africa,963,791,663
Serbia,Europe,1275,1269,6
Sierra Leone,Western Africa,1079,1037,65
Somalia,Eastern Africa,29667,16933,50005
South Africa,Southern Africa,11667,10652,1483
South Sudan,Eastern Africa,6227,3232,32720
Spain,Northern Africa,2,2,0
Sri Lanka,Southern Asia,3855,3717,450
Sudan,Northern Africa,12528,7802,76599
Syria,Middle East,70734,50472,98922
Tajikistan,Caucasus and Central Asia,68,55,130
Tanzania,Eastern Africa,782,541,1064
Thailand,South-Eastern Asia,7420,5671,2655
Togo,Western Africa,321,276,179
Tunisia,Northern Africa,5756,5484,832
Tunisia,Southern Africa,1,1,0
Turkey,Middle East,10334,7570,11129
Turkmenistan,Caucasus and Central Asia,21,15,33
Uganda,Eastern Africa,4866,2882,11272
Ukraine,Europe,30131,29137,1287
United Arab Emirates,Middle East,4,4,0
Uzbekistan,Caucasus and Central Asia,102,97,5
Vietnam,South-Eastern Asia,503,462,132
Yemen,Middle East,45298,30742,102589
Zambia,Southern Africa,1148,1029,236
Zimbabwe,Southern Africa,5891,5589,460
